Country,Region,Happiness,GDP,Support,Life_Exp,Freedom,Corruption,Generosity,Year
Burundi,Sub-Saharan Africa,3.706,6.748,0.422,50.68,0.49,0.677,-0.062,2011
Cameroon,Sub-Saharan Africa,4.434,8.048,0.738,48.7,0.817,0.87,-0.029,2011
Central African Republic,Sub-Saharan Africa,3.678,7.125,0.387,43.08,0.78,0.834,-0.016,2011
Chad,Sub-Saharan Africa,4.393,7.425,0.819,45.42,0.54,0.876,0.031,2011
Comoros,Sub-Saharan Africa,3.838,7.981,0.722,55.02,0.5,0.732,-0.075,2011
Congo (Brazzaville),Sub-Saharan Africa,4.51,8.18,0.637,54.58,0.745,0.833,-0.109,2011
Congo (Kinshasa),Sub-Saharan Africa,4.517,6.797,0.744,50.34,0.631,0.856,-0.025,2011
Djibouti,Sub-Saharan Africa,4.369,7.88,0.633,54.7,0.746,0.519,-0.057,2011
Gabon,Sub-Saharan Africa,4.255,9.608,0.653,55.48,0.772,0.851,-0.211,2011
Ghana,Sub-Saharan Africa,5.608,8.332,0.724,54.48,0.852,0.79,0.011,2011
Guinea,Sub-Saharan Africa,4.045,7.567,0.598,50.22,0.797,0.743,0.041,2011
Kenya,Sub-Saharan Africa,4.405,8.143,0.846,56.06,0.709,0.923,0.022,2011
Lesotho,Sub-Saharan Africa,4.898,7.777,0.824,45.74,0.618,0.768,-0.087,2011
Madagascar,Sub-Saharan Africa,4.381,7.336,0.818,56.22,0.546,0.897,-0.062,2011
Malawi,Sub-Saharan Africa,3.946,6.895,0.613,51.42,0.733,0.853,0.099,2011
Mali,Sub-Saharan Africa,4.667,7.643,0.796,48.76,0.823,0.726,-0.101,2011
Mauritania,Sub-Saharan Africa,4.785,8.481,0.75,54.82,0.567,0.747,0.052,2011
Mauritius,Sub-Saharan Africa,5.477,9.767,0.8,64.7,0.848,0.847,0.191,2011
Mozambique,Sub-Saharan Africa,4.971,6.979,0.818,48.32,0.639,0.719,-0.024,2011
Niger,Sub-Saharan Africa,4.556,6.925,0.818,49.92,0.78,0.549,-0.055,2011
Rwanda,Sub-Saharan Africa,4.097,7.369,0.57,56.82,0.829,0.161,-0.039,2011
Senegal,Sub-Saharan Africa,3.834,7.904,0.602,56.56,0.641,0.87,-0.16,2011
Sierra Leone,Sub-Saharan Africa,4.502,7.292,0.782,44.32,0.77,0.855,0.005,2011
Somaliland region,Sub-Saharan Africa,4.931,0,0.788,0,0.858,0.357,0,2011
South Africa,Sub-Saharan Africa,4.931,9.447,0.858,51.46,0.835,0.819,-0.154,2011
Sudan,Sub-Saharan Africa,4.314,8.204,0.818,54.28,0.583,0.663,-0.024,2011
Swaziland,Sub-Saharan Africa,4.867,8.94,0.837,40.808,0.607,0.917,-0.067,2011
Tanzania,Sub-Saharan Africa,4.074,7.649,0.883,53.04,0.736,0.816,-0.046,2011
Togo,Sub-Saharan Africa,2.936,7.146,0.303,51.58,0.584,0.832,-0.07,2011
Uganda,Sub-Saharan Africa,4.826,7.586,0.882,51.22,0.733,0.83,0.032,2011
Zambia,Sub-Saharan Africa,4.999,8.071,0.864,50.84,0.663,0.882,0.003,2011
Zimbabwe,Sub-Saharan Africa,4.846,7.846,0.865,48.12,0.633,0.83,-0.088,2011
Austria,Western Europe,7.471,10.887,0.944,71.54,0.939,0.703,0.132,2011
Belgium,Western Europe,7.111,10.783,0.937,70.92,0.88,0.711,-0.014,2011
Cyprus,Western Europe,6.69,10.53,0.844,72.54,0.745,0.841,0.18,2011
Denmark,Western Europe,7.788,10.848,0.962,70.62,0.935,0.22,0.298,2011
Finland,Western Europe,7.354,10.754,0.938,70.64,0.936,0.32,0.101,2011
France,Western Europe,6.959,10.671,0.921,72.4,0.903,0.627,-0.102,2011
Germany,Western Europe,6.621,10.813,0.947,70.98,0.906,0.677,0.033,2011
Greece,Western Europe,5.372,10.339,0.852,71.56,0.528,0.941,-0.316,2011
Ireland,Western Europe,7.007,10.878,0.977,71.6,0.952,0.59,0.383,2011
Italy,Western Europe,6.057,10.671,0.913,72.84,0.568,0.933,-0.018,2011
Luxembourg,Western Europe,7.101,11.595,0.934,71.88,0.962,0.388,0.106,2011
Malta,Western Europe,6.155,10.37,0.923,71.72,0.882,0,0.296,2011
Netherlands,Western Europe,7.564,10.875,0.938,71.52,0.925,0.359,0.336,2011
Portugal,Western Europe,5.22,10.353,0.856,71,0.875,0.962,-0.173,2011
Spain,Western Europe,6.518,10.518,0.944,73.02,0.819,0.846,-0.122,2011
Sweden,Western Europe,7.382,10.814,0.921,71.98,0.941,0.269,0.161,2011
United Kingdom,Western Europe,6.869,10.657,0.949,71.38,0.9,0.438,0.336,2011
Taiwan Province of China,East Asia,6.309,10.705,0.863,0,0.761,0.755,0.035,2011
Trinidad and Tobago,Latin America and Caribbean,6.519,10.263,0.863,62.54,0.775,0.9,0.078,2011
Australia,Australia and New Zealand,7.196,10.754,0.945,72.4,0.935,0.368,0.274,2012
New Zealand,Australia and New Zealand,7.25,10.553,0.93,72.24,0.902,0.289,0.287,2012
Albania,Central and Eastern Europe,5.51,9.347,0.785,66.96,0.602,0.848,-0.169,2012
Bosnia and Herzegovina,Central and Eastern Europe,4.773,9.342,0.779,66.78,0.42,0.953,-0.013,2012
Bulgaria,Central and Eastern Europe,4.222,9.804,0.838,65.9,0.641,0.938,-0.172,2012
Croatia,Central and Eastern Europe,6.028,10.072,0.776,68.1,0.542,0.924,-0.242,2012
Czech Republic,Central and Eastern Europe,6.334,10.426,0.912,68.38,0.74,0.957,-0.154,2012
Estonia,Central and Eastern Europe,5.364,10.282,0.889,67.22,0.697,0.793,-0.192,2012
Hungary,Central and Eastern Europe,4.683,10.117,0.906,65.92,0.569,0.93,-0.136,2012
Kosovo,Central and Eastern Europe,5.64,9.086,0.757,0,0.636,0.95,0.027,2012
Latvia,Central and Eastern Europe,5.125,10.082,0.851,65.12,0.564,0.895,-0.038,2012
Lithuania,Central and Eastern Europe,5.771,10.218,0.919,64.9,0.503,0.957,-0.273,2012
Montenegro,Central and Eastern Europe,5.219,9.726,0.704,67.42,0.462,0.755,-0.192,2012
North Macedonia,Central and Eastern Europe,4.64,9.513,0.798,64.811,0.613,0.92,-0.084,2012
Poland,Central and Eastern Europe,5.876,10.149,0.936,67.62,0.811,0.888,-0.027,2012
Romania,Central and Eastern Europe,5.167,9.965,0.74,65.64,0.645,0.959,-0.112,2012
Serbia,Central and Eastern Europe,5.155,9.605,0.819,66.52,0.461,0.952,-0.13,2012
Slovakia,Central and Eastern Europe,5.911,10.213,0.926,67.28,0.62,0.907,-0.028,2012
Slovenia,Central and Eastern Europe,6.063,10.397,0.925,69.6,0.904,0.891,-0.02,2012
Armenia,Commonwealth of Independent States,4.32,9.249,0.676,65.52,0.502,0.893,-0.215,2012
Azerbaijan,Commonwealth of Independent States,4.911,9.549,0.762,63.88,0.599,0.763,-0.14,2012
Belarus,Commonwealth of Independent States,5.749,9.83,0.902,63.46,0.645,0.657,-0.217,2012
Georgia,Commonwealth of Independent States,4.254,9.332,0.533,64.92,0.659,0.321,-0.269,2012
Kazakhstan,Commonwealth of Independent States,5.759,10.03,0.892,61.24,0.84,0.877,-0.171,2012
Kyrgyzstan,Commonwealth of Independent States,5.208,8.357,0.856,61.94,0.703,0.892,-0.079,2012
Moldova,Commonwealth of Independent States,5.996,9.105,0.826,61.94,0.602,0.955,-0.05,2012
Russia,Commonwealth of Independent States,5.621,10.166,0.901,61.84,0.609,0.938,-0.293,2012
Tajikistan,Commonwealth of Independent States,4.497,7.821,0.729,62.72,0.749,0.717,-0.073,2012
Turkmenistan,Commonwealth of Independent States,5.464,9.269,0.946,60.28,0.786,0,-0.123,2012
Ukraine,Commonwealth of Independent States,5.03,9.436,0.898,62.8,0.564,0.896,-0.223,2012
Uzbekistan,Commonwealth of Independent States,6.019,8.55,0.933,63.6,0.914,0.463,-0.037,2012
China,East Asia,5.095,9.249,0.788,67.92,0.808,0,-0.185,2012
Hong Kong,East Asia,5.484,10.893,0.826,0,0.88,0.38,0.222,2012
Japan,East Asia,5.968,10.549,0.905,74.16,0.753,0.692,0,2012
Mongolia,East Asia,4.885,9.158,0.919,60.8,0.688,0.932,0.107,2012
South Korea,East Asia,6.003,10.494,0.775,71.92,0.618,0.844,0,2012
Argentina,Latin America and Caribbean,6.468,10.091,0.902,67.66,0.747,0.817,-0.148,2012
Bolivia,Latin America and Caribbean,6.019,8.865,0.781,61.68,0.862,0.84,-0.015,2012
Brazil,Latin America and Caribbean,6.66,9.647,0.89,65.02,0.849,0.623,0,2012
Chile,Latin America and Caribbean,6.599,10.023,0.855,69.18,0.734,0.782,0.195,2012
Colombia,Latin America and Caribbean,6.375,9.471,0.914,66.14,0.828,0.868,-0.009,2012
Costa Rica,Latin America and Caribbean,7.272,9.74,0.902,70.1,0.929,0.794,0.046,2012
Dominican Republic,Latin America and Caribbean,4.753,9.489,0.879,64.24,0.84,0.727,-0.062,2012
Ecuador,Latin America and Caribbean,5.961,9.344,0.785,67.12,0.825,0.73,-0.084,2012
El Salvador,Latin America and Caribbean,5.934,8.956,0.806,64.6,0.683,0.786,-0.155,2012
Guatemala,Latin America and Caribbean,5.856,8.935,0.802,62.82,0.865,0.821,0.02,2012
Haiti,Latin America and Caribbean,4.413,7.437,0.749,41.42,0.482,0.717,0.289,2012
Honduras,Latin America and Caribbean,4.602,8.53,0.779,65.94,0.7,0.871,-0.003,2012
Mexico,Latin America and Caribbean,7.32,9.832,0.767,66.86,0.788,0.633,-0.093,2012
Nicaragua,Latin America and Caribbean,5.448,8.534,0.894,65.94,0.85,0.644,0.017,2012
Panama,Latin America and Caribbean,6.86,10.135,0.897,68.7,0.783,0.796,-0.002,2012
Paraguay,Latin America and Caribbean,5.82,9.259,0.931,64.74,0.748,0.774,0.2,2012
Peru,Latin America and Caribbean,5.825,9.322,0.764,66.66,0.703,0.867,-0.079,2012
Suriname,Latin America and Caribbean,6.269,9.797,0.797,62.24,0.885,0.751,-0.077,2012
Uruguay,Latin America and Caribbean,6.45,9.861,0.865,68.28,0.871,0.615,0.067,2012
Venezuela,Latin America and Caribbean,7.067,9.826,0.932,65.78,0.804,0.743,-0.193,2012
Algeria,Middle East and North Africa,5.605,9.311,0.839,64.82,0.587,0.69,-0.172,2012
Bahrain,Middle East and North Africa,5.027,10.716,0.911,66.86,0.682,0.438,0,2012
Egypt,Middle East and North Africa,4.204,9.24,0.737,60.32,0.452,0.88,-0.138,2012
Iran,Middle East and North Africa,4.609,9.458,0.6,64.38,0.764,0.678,0,2012
Iraq,Middle East and North Africa,4.66,9.246,0.73,59.12,0.315,0.789,-0.02,2012
Israel,Middle East and North Africa,7.111,10.493,0.903,72.52,0.681,0.862,0.153,2012
Jordan,Middle East and North Africa,5.132,9.261,0.829,65.3,0.693,0,-0.16,2012
Kuwait,Middle East and North Africa,6.221,11.025,0.889,65.2,0.934,0,0,2012
Lebanon,Middle East and North Africa,4.573,9.8,0.713,65.36,0.621,0.856,-0.006,2012
Libya,Middle East and North Africa,5.754,9.842,0.855,62.66,0.712,0.791,-0.032,2012
Morocco,Middle East and North Africa,4.97,8.799,0.676,64.1,0.757,0.845,-0.187,2012
Palestinian Territories,Middle East and North Africa,4.647,8.531,0.782,0,0.542,0.73,-0.153,2012
Qatar,Middle East and North Africa,6.611,11.523,0.838,67.34,0.924,0,0.162,2012
Saudi Arabia,Middle East and North Africa,6.396,10.779,0.867,64.8,0.56,0,-0.12,2012
Syria,Middle East and North Africa,3.164,8.563,0.588,60.54,0.467,0.673,0.316,2012
Tunisia,Middle East and North Africa,4.464,9.222,0.614,65.46,0.568,0.899,-0.176,2012
Turkey,Middle East and North Africa,5.309,10.026,0.739,64.88,0.471,0.702,-0.216,2012
United Arab Emirates,Middle East and North Africa,7.218,10.958,0.856,66.44,0.92,0,0,2012
Yemen,Middle East and North Africa,4.061,8.236,0.682,54.3,0.706,0.793,-0.171,2012
Canada,North America and ANZ,7.415,10.744,0.948,72.52,0.918,0.466,0.29,2012
United States,North America and ANZ,7.026,10.928,0.903,68.66,0.823,0.71,0.215,2012
Afghanistan,South Asia,3.783,7.705,0.521,52.24,0.531,0.776,0.236,2012
Bangladesh,South Asia,4.724,8.07,0.582,61.54,0.668,0.765,-0.034,2012
India,South Asia,4.72,8.428,0.511,58,0.609,0.83,0.067,2012
Nepal,South Asia,4.233,7.846,0.734,59.6,0.638,0.883,0.07,2012
Pakistan,South Asia,5.132,8.289,0.542,56.64,0.367,0.842,0.165,2012
Sri Lanka,South Asia,4.225,9.279,0.824,66.3,0.8,0.823,0.161,2012
Cambodia,Southeast Asia,3.899,8.014,0.606,59.26,0.956,0.89,0.247,2012
Indonesia,Southeast Asia,5.368,9.114,0.834,60.84,0.77,0.962,0.354,2012
Laos,Southeast Asia,4.876,8.611,0.693,56.6,0,0,0.232,2012
Malaysia,Southeast Asia,5.914,10.005,0.841,65.92,0.848,0.847,0.017,2012
Myanmar,Southeast Asia,4.439,8.158,0.612,57.02,0.691,0.695,0.645,2012
Philippines,Southeast Asia,5.002,8.756,0.813,61,0.914,0.771,0.053,2012
Thailand,Southeast Asia,6.3,9.645,0.906,65.94,0.847,0.909,0.38,2012
Vietnam,Southeast Asia,5.535,8.626,0.775,66.82,0.856,0.815,-0.11,2012
Angola,Sub-Saharan Africa,4.36,8.992,0.753,53.2,0.456,0.906,-0.136,2012
Benin,Sub-Saharan Africa,3.193,7.923,0.523,52.26,0.769,0.806,-0.111,2012
Botswana,Sub-Saharan Africa,4.836,9.632,0.837,54.46,0.799,0.814,-0.203,2012
Burkina Faso,Sub-Saharan Africa,3.955,7.52,0.744,50.78,0.622,0.726,-0.07,2012
Cameroon,Sub-Saharan Africa,4.245,8.065,0.743,49.1,0.766,0.898,-0.032,2012
Chad,Sub-Saharan Africa,4.033,7.476,0.673,45.74,0.563,0.884,-0.034,2012
Comoros,Sub-Saharan Africa,3.956,7.988,0.719,55.34,0.534,0.651,-0.121,2012
Congo (Brazzaville),Sub-Saharan Africa,3.919,8.192,0.622,54.96,0.773,0.8,-0.112,2012
Congo (Kinshasa),Sub-Saharan Africa,4.639,6.832,0.77,50.78,0.557,0.807,-0.035,2012
Ethiopia,Sub-Saharan Africa,4.561,7.271,0.659,55.2,0.776,0,-0.044,2012
Gabon,Sub-Saharan Africa,3.972,9.621,0.736,56.16,0.566,0.81,-0.195,2012
Ghana,Sub-Saharan Africa,5.057,8.397,0.685,54.86,0.679,0.898,0.04,2012
Guinea,Sub-Saharan Africa,3.652,7.603,0.542,50.44,0.646,0.794,0.001,2012
Kenya,Sub-Saharan Africa,4.547,8.161,0.831,56.62,0.628,0.911,0.066,2012
Madagascar,Sub-Saharan Africa,3.551,7.339,0.673,56.64,0.487,0.854,-0.055,2012
Malawi,Sub-Saharan Africa,4.279,6.885,0.604,52.44,0.637,0.886,0.169,2012
Mali,Sub-Saharan Africa,4.313,7.605,0.823,49.12,0.704,0.787,-0.088,2012
Mauritania,Sub-Saharan Africa,4.673,8.495,0.763,55.14,0.487,0.707,-0.021,2012
Niger,Sub-Saharan Africa,3.798,6.987,0.7,50.44,0.734,0.777,-0.064,2012
Nigeria,Sub-Saharan Africa,5.493,8.543,0.818,47.12,0.652,0.9,0.066,2012
Rwanda,Sub-Saharan Africa,3.333,7.428,0.637,57.44,0.835,0.081,-0.012,2012
Senegal,Sub-Saharan Africa,3.669,7.926,0.711,57.02,0.668,0.852,-0.036,2012
Somaliland region,Sub-Saharan Africa,5.057,0,0.786,0,0.758,0.334,0,2012
South Africa,Sub-Saharan Africa,5.134,9.453,0.907,52.42,0.59,0.838,-0.163,2012
Sudan,Sub-Saharan Africa,4.55,8.296,0.813,54.56,0.412,0.734,-0.056,2012
Tanzania,Sub-Saharan Africa,4.007,7.663,0.832,53.78,0.577,0.887,0.213,2012
Uganda,Sub-Saharan Africa,4.309,7.592,0.885,52.04,0.649,0.838,0.081,2012
Zambia,Sub-Saharan Africa,5.013,8.114,0.78,51.58,0.788,0.806,0.008,2012
Zimbabwe,Sub-Saharan Africa,4.955,7.983,0.896,49.54,0.47,0.859,-0.103,2012
Austria,Western Europe,7.401,10.889,0.945,71.68,0.92,0.771,0.118,2012
Belgium,Western Europe,6.935,10.784,0.927,71.04,0.855,0.758,-0.05,2012
Cyprus,Western Europe,6.181,10.479,0.767,72.68,0.725,0.871,0.098,2012
Denmark,Western Europe,7.52,10.846,0.951,70.84,0.933,0.187,0.139,2012
Finland,Western Europe,7.42,10.735,0.928,70.88,0.921,0.361,-0.001,2012
France,Western Europe,6.649,10.669,0.937,72.6,0.841,0.608,-0.149,2012
Germany,Western Europe,6.702,10.816,0.926,71.06,0.904,0.679,0.071,2012
Greece,Western Europe,5.096,10.268,0.812,71.62,0.373,0.959,-0.305,2012
Iceland,Western Europe,7.591,10.777,0.979,72.76,0.905,0.759,0.241,2012
Ireland,Western Europe,6.965,10.876,0.962,71.7,0.902,0.573,0.302,2012
Italy,Western Europe,5.839,10.638,0.869,72.88,0.57,0.908,0.113,2012
Luxembourg,Western Europe,6.964,11.567,0.914,72.06,0.917,0.403,0.059,2012
Malta,Western Europe,5.963,10.389,0.922,71.84,0.861,0,0.352,2012
Netherlands,Western Europe,7.471,10.861,0.939,71.64,0.877,0.434,0.288,2012
North Cyprus,Western Europe,5.463,0,0.871,0,0.693,0.855,0,2012
Norway,Western Europe,7.678,11.017,0.948,72.24,0.947,0.368,0.147,2012
Portugal,Western Europe,4.994,10.315,0.866,71.2,0.774,0.959,-0.097,2012
Spain,Western Europe,6.291,10.487,0.937,73.14,0.755,0.844,-0.059,2012
Sweden,Western Europe,7.56,10.8,0.929,72.06,0.944,0.254,0.132,2012
Switzerland,Western Europe,7.776,11.079,0.947,72.78,0.945,0.323,0.139,2012
United Kingdom,Western Europe,6.881,10.664,0.935,71.46,0.889,0.425,0.371,2012
Taiwan Province of China,East Asia,6.126,10.716,0.825,0,0.698,0.803,0.022,2012
Australia,Australia and New Zealand,7.364,10.762,0.928,72.5,0.933,0.432,0.269,2013
New Zealand,Australia and New Zealand,7.28,10.571,0.958,72.36,0.944,0.312,0.237,2013
Albania,Central and Eastern Europe,4.551,9.359,0.759,67.24,0.632,0.863,-0.127,2013
Bosnia and Herzegovina,Central and Eastern Europe,5.124,9.382,0.767,66.82,0.39,0.97,0.042,2013
Bulgaria,Central and Eastern Europe,3.993,9.813,0.829,66,0.603,0.962,-0.191,2013
Croatia,Central and Eastern Europe,5.885,10.069,0.751,68.2,0.627,0.936,-0.204,2013
Czech Republic,Central and Eastern Europe,6.698,10.42,0.888,68.52,0.726,0.916,-0.156,2013
Estonia,Central and Eastern Europe,5.367,10.299,0.901,67.48,0.754,0.726,-0.201,2013
Hungary,Central and Eastern Europe,4.914,10.14,0.877,66.08,0.674,0.912,-0.113,2013
Kosovo,Central and Eastern Europe,6.126,9.113,0.721,0,0.568,0.935,0.115,2013
Latvia,Central and Eastern Europe,5.07,10.116,0.834,65.38,0.631,0.837,-0.073,2013
Lithuania,Central and Eastern Europe,5.596,10.263,0.913,65.1,0.556,0.936,-0.237,2013
Montenegro,Central and Eastern Europe,5.074,9.76,0.736,67.58,0.502,0.693,-0.176,2013
North Macedonia,Central and Eastern Europe,5.186,9.541,0.832,64.942,0.641,0.861,0.025,2013
Poland,Central and Eastern Europe,5.746,10.164,0.912,67.78,0.776,0.916,-0.137,2013
Romania,Central and Eastern Europe,5.082,10.004,0.778,65.86,0.655,0.952,-0.129,2013
Serbia,Central and Eastern Europe,5.102,9.638,0.828,66.68,0.533,0.908,-0.1,2013
Slovakia,Central and Eastern Europe,5.937,10.218,0.909,67.52,0.598,0.915,-0.051,2013
Slovenia,Central and Eastern Europe,5.975,10.385,0.932,69.8,0.89,0.918,0.036,2013
Armenia,Commonwealth of Independent States,4.277,9.277,0.723,65.68,0.504,0.9,-0.195,2013
Azerbaijan,Commonwealth of Independent States,5.481,9.592,0.77,64.12,0.672,0.699,-0.168,2013
Belarus,Commonwealth of Independent States,5.876,9.839,0.923,64.04,0.723,0.653,-0.177,2013
Georgia,Commonwealth of Independent States,4.349,9.371,0.559,64.98,0.722,0.349,-0.254,2013
Kazakhstan,Commonwealth of Independent States,5.835,10.074,0.889,61.76,0.782,0.82,-0.229,2013
Kyrgyzstan,Commonwealth of Independent States,5.402,8.441,0.851,62.36,0.755,0.9,-0.085,2013
Moldova,Commonwealth of Independent States,5.756,9.192,0.803,62.26,0.658,0.941,-0.069,2013
Russia,Commonwealth of Independent States,5.537,10.182,0.881,62.26,0.661,0.934,-0.289,2013
Tajikistan,Commonwealth of Independent States,4.967,7.87,0.701,62.88,0.693,0.764,0.063,2013
Turkmenistan,Commonwealth of Independent States,5.392,9.348,0.846,60.52,0.705,0,-0.071,2013
Ukraine,Commonwealth of Independent States,4.711,9.438,0.897,63.1,0.569,0.937,-0.216,2013
Uzbekistan,Commonwealth of Independent States,5.94,8.607,0.963,63.8,0.95,0.434,-0.034,2013
China,East Asia,5.241,9.319,0.778,68.08,0.805,0,-0.158,2013
Japan,East Asia,5.959,10.57,0.924,74.34,0.821,0.65,-0.147,2013
Mongolia,East Asia,4.913,9.248,0.935,61.1,0.748,0.928,0.136,2013
South Korea,East Asia,5.959,10.52,0.797,72.18,0.642,0.832,-0.05,2013
Argentina,Latin America and Caribbean,6.582,10.103,0.91,67.84,0.737,0.823,-0.13,2013
Bolivia,Latin America and Caribbean,5.767,8.915,0.803,62.02,0.846,0.812,-0.067,2013
Brazil,Latin America and Caribbean,7.14,9.668,0.91,65.28,0.785,0.707,-0.095,2013
Chile,Latin America and Caribbean,6.74,10.053,0.862,69.32,0.737,0.741,0.085,2013
Colombia,Latin America and Caribbean,6.607,9.512,0.901,66.36,0.841,0.898,-0.071,2013
Costa Rica,Latin America and Caribbean,7.158,9.751,0.902,70.3,0.898,0.813,0.018,2013
Dominican Republic,Latin America and Caribbean,5.016,9.525,0.878,64.46,0.889,0.752,0.021,2013
Ecuador,Latin America and Caribbean,6.019,9.377,0.801,67.28,0.787,0.646,-0.191,2013
El Salvador,Latin America and Caribbean,6.325,8.974,0.827,64.8,0.716,0.772,-0.15,2013
Guatemala,Latin America and Caribbean,5.985,8.953,0.83,63.18,0.884,0.817,0.045,2013
Haiti,Latin America and Caribbean,4.622,7.464,0.648,45.98,0.61,0.669,0.289,2013
Honduras,Latin America and Caribbean,4.713,8.54,0.792,66.16,0.698,0.868,-0.027,2013
Jamaica,Latin America and Caribbean,5.709,9.151,0.865,66.46,0.793,0.931,-0.021,2013
Mexico,Latin America and Caribbean,7.443,9.832,0.759,67.04,0.739,0.615,-0.165,2013
Nicaragua,Latin America and Caribbean,5.772,8.569,0.868,66.16,0.859,0.636,0.039,2013
Panama,Latin America and Caribbean,6.866,10.184,0.896,68.9,0.811,0.814,0.018,2013
Paraguay,Latin America and Caribbean,5.936,9.326,0.939,64.86,0.909,0.903,0.046,2013
Peru,Latin America and Caribbean,5.783,9.369,0.797,66.84,0.703,0.87,-0.066,2013
Uruguay,Latin America and Caribbean,6.444,9.904,0.917,68.42,0.888,0.586,-0.043,2013
Venezuela,Latin America and Caribbean,6.553,9.739,0.896,65.82,0.642,0.837,-0.22,2013
Bahrain,Middle East and North Africa,6.69,10.757,0.884,67.14,0.809,0.525,0,2013
Egypt,Middle East and North Africa,3.559,9.239,0.675,60.48,0.474,0.913,-0.141,2013
Iran,Middle East and North Africa,5.14,9.443,0.664,64.62,0.73,0.685,0.216,2013
Iraq,Middle East and North Africa,4.725,9.28,0.728,58.88,0,0.71,-0.05,2013
Israel,Middle East and North Africa,7.321,10.515,0.909,72.58,0.739,0.849,0.15,2013
Jordan,Middle East and North Africa,5.172,9.237,0.84,65.6,0.692,0,-0.117,2013
Kuwait,Middle East and North Africa,6.48,10.985,0.862,65.5,0.751,0,0,2013
Lebanon,Middle East and North Africa,4.983,9.772,0.708,65.44,0.655,0.921,-0.004,2013
Morocco,Middle East and North Africa,5.142,8.829,0.597,64.4,0.572,0.771,-0.21,2013
Palestinian Territories,Middle East and North Africa,4.844,8.489,0.761,0,0.454,0.78,-0.15,2013
Saudi Arabia,Middle East and North Africa,6.495,10.776,0.827,65,0.661,0,-0.081,2013
Syria,Middle East and North Africa,2.688,8.396,0.585,58.76,0.455,0.663,0.225,2013
Tunisia,Middle East and North Africa,5.246,9.24,0.648,65.64,0.536,0.886,-0.207,2013
Turkey,Middle East and North Africa,4.888,10.091,0.795,65.12,0.541,0.698,-0.229,2013
United Arab Emirates,Middle East and North Africa,6.621,11.001,0.864,66.46,0.936,0,0,2013
Yemen,Middle East and North Africa,4.218,8.242,0.694,54.3,0.543,0.885,-0.179,2013
Canada,North America and ANZ,7.594,10.757,0.936,72.68,0.916,0.406,0.316,2013
United States,North America and ANZ,7.249,10.939,0.925,68.64,0.792,0.747,0.274,2013
Afghanistan,South Asia,3.572,7.725,0.484,52.56,0.578,0.823,0.061,2013
Bangladesh,South Asia,4.66,8.116,0.53,61.96,0.742,0.743,-0.016,2013
India,South Asia,4.428,8.478,0.553,58.3,0.74,0.832,0.084,2013
Nepal,South Asia,4.605,7.889,0.74,59.8,0.722,0.877,0.151,2013
Pakistan,South Asia,5.138,8.311,0.607,56.86,0.448,0.792,0.1,2013
Sri Lanka,South Asia,4.365,9.305,0.809,66.4,0.834,0.842,0.268,2013
Cambodia,Southeast Asia,3.674,8.068,0.651,59.64,0.941,0.812,0.164,2013
Indonesia,Southeast Asia,5.292,9.155,0.794,61.06,0.781,0.973,0.376,2013
Malaysia,Southeast Asia,5.77,10.037,0.831,66.08,0.791,0.755,0.264,2013
Myanmar,Southeast Asia,4.176,8.23,0.757,57.38,0.775,0.638,0.689,2013
Philippines,Southeast Asia,4.977,8.805,0.846,61.2,0.907,0.756,0.021,2013
Singapore,Southeast Asia,6.533,11.357,0.808,75.46,0.827,0.242,0.115,2013
Thailand,Southeast Asia,6.231,9.667,0.926,66.16,0.781,0.925,0.456,2013
Vietnam,Southeast Asia,5.023,8.668,0.759,66.98,0.92,0.771,-0.027,2013
Bhutan,Southern Asia,5.569,9.123,0.819,59.6,0.81,0.802,0.353,2013
Angola,Sub-Saharan Africa,3.937,9.005,0.722,53.9,0.41,0.816,-0.104,2013
Benin,Sub-Saharan Africa,3.479,7.964,0.577,52.54,0.783,0.856,-0.085,2013
Botswana,Sub-Saharan Africa,4.128,9.728,0.856,55.24,0.767,0.749,-0.154,2013
Burkina Faso,Sub-Saharan Africa,3.326,7.546,0.745,51.32,0.741,0.765,-0.016,2013
Cameroon,Sub-Saharan Africa,4.271,8.09,0.76,49.5,0.794,0.867,-0.03,2013
Chad,Sub-Saharan Africa,3.508,7.498,0.714,46.06,0.488,0.882,-0.045,2013
Congo (Brazzaville),Sub-Saharan Africa,3.955,8.201,0.68,55.34,0.726,0.752,-0.078,2013
Congo (Kinshasa),Sub-Saharan Africa,4.497,6.88,0.83,51.22,0.48,0.913,0.012,2013
Ethiopia,Sub-Saharan Africa,4.445,7.343,0.602,55.8,0.707,0.75,-0.008,2013
Gabon,Sub-Saharan Africa,3.8,9.638,0.733,56.84,0.682,0.78,-0.146,2013
Ghana,Sub-Saharan Africa,4.965,8.445,0.676,55.24,0.794,0.88,-0.065,2013
Guinea,Sub-Saharan Africa,3.902,7.619,0.567,50.66,0.693,0.815,0.091,2013
Ivory Coast,Sub-Saharan Africa,3.739,8.274,0.709,47.1,0.739,0.691,-0.031,2013
Kenya,Sub-Saharan Africa,3.795,8.192,0.825,57.18,0.708,0.861,0.212,2013
Madagascar,Sub-Saharan Africa,3.816,7.334,0.673,57.06,0.48,0.868,-0.019,2013
Malawi,Sub-Saharan Africa,4.035,6.907,0.563,53.46,0.752,0.857,0.078,2013
Mali,Sub-Saharan Africa,3.676,7.599,0.82,49.48,0.665,0.755,-0.053,2013
